"pollster","period","samplesize","lula","bolsonaro","blank","spread"
"Datafolha","29 Oct 2022","8,308",0.45,0.49,0.07,0.04
"Genial/Quaest","29 Oct 2022","2,000",0.42,0.45,0.13,0.03
"Ipec","29 Oct 2022","4,272",0.43,0.5,0.07,0.07
"Atlas","29 Oct 2022","7,500",0.457,0.524,0.019,0.067
"CNT/MDA","28 Oct 2022","2,002",0.449,0.469,0.082,0.02
"Paran치 Pesquisas","28 Oct 2022","2,400",0.463,0.471,0.066,0.008
"Datafolha","27 Oct 2022","4,580",0.44,0.49,0.07,0.05
"ModalMais/Futura","26 Oct 2022","2,000",0.472,0.466,0.061,0.006
"Gerp","26 Oct 2022","2,095",0.47,0.43,0.09,0.04
"PoderData","25 Oct 2022","5,000",0.44,0.49,0.07,0.05
"Genial/Quaest","25 Oct 2022","2,000",0.42,0.48,0.1,0.06
"Abrapel/Ipespe","24 Oct 2022","1,100",0.44,0.5,0.06,0.06
"Ipec","24 Oct 2022","3,008",0.43,0.5,0.07,0.07
"Paran치 Pesquisas","24 Oct 2022","2,020",0.459,0.463,0.078,0.004
"Atlas","22 Oct 2022","4,500",0.462,0.52,0.018,0.058
"ModalMais/Futura","19 Oct 2022","2,000",0.469,0.459,0.071,0.01
"Datafolha","19 Oct 2022","2,912",0.45,0.49,0.05,0.04
"Paran치 Pesquisas","19 Oct 2022","2,020",0.445,0.469,0.086,0.024
"Ideia","19 Oct 2022","1,500",0.46,0.5,0.04,0.04
"Abrapel/Ipespe","18 Oct 2022","1,100",0.43,0.49,0.08,0.06
"PoderData","18 Oct 2022","5,000",0.44,0.48,0.08,0.04
"Genial/Quaest","18 Oct 2022","2,000",0.42,0.47,0.11,0.05
"Ipec","17 Oct 2022","3,008",0.43,0.5,0.07,0.07
"CNT/MDA","16 Oct 2022","2,002",0.418,0.481,0.101,0.063
"Datafolha","14 Oct 2022","2,898",0.45,0.49,0.06,0.05
"ModalMais/Futura","12 Oct 2022","2,000",0.465,0.469,0.066,0.004
"Abrapel/Ipespe","12 Oct 2022","2,000",0.43,0.49,0.08,0.06
"Atlas","12 Oct 2022","4,500",0.465,0.511,0.033,0.046
"Paran치 Pesquisas","12 Oct 2022","2,020",0.441,0.476,0.084,0.035
"PoderData","11 Oct 2022","5,000",0.44,0.48,0.08,0.04
"Gerp","11 Oct 2022","2,095",0.46,0.48,0.06,0.02
"Abrapel/Ipespe","10 Oct 2022","1,100",0.43,0.5,0.07,0.07
"IPEC","10 Oct 2022","2,000",0.42,0.51,0.07,0.09
"Datafolha","7 Oct 2022","2,884",0.44,0.49,0.07,0.05
"Genial/Quaest","5 Oct 2022","2,000",0.41,0.48,0.11,0.07
"PoderData","5 Oct 2022","3,500",0.44,0.48,0.08,0.04
"IPEC","5 Oct 2022","2,000",0.43,0.51,0.06,0.08
"ModalMais/Futura","4 Oct 2022","2,000",0.46,0.493,0.047,0.033
